from_stop_id,to_stop_id,transfer_type,min_transfer_time
7137438,1748,2,247
1787,5121998,2,208
5020430,1662795,2,189
4009618,1827,2,396
4009539,1928,2,251
5020430,1662796,2,189
6217416,2469,2,210
4015687,2202,2,213
5762008,1872,2,210
7714391,2462,2,228
2276,5121768,2,271
1880,5121989,2,217
4015691,2202,2,290
7714428,2462,2,228
3926188,1827,2,389
2276,5121769,2,217
4036661,2469,2,227
4045009,1827,2,432
4037285,2359,2,212
5775597,1662796,2,250
4015882,1947,2,302
1880,5121990,2,271
3687473,1827,2,431
1969,5221748,2,274
1969,5221749,2,255
4009619,1827,2,432
5775597,1662795,2,250
3764713,2253,2,243
3716873,1724,2,215
6591474,2366,2,431
3619131,1749,2,244
7312150,1969,2,318
3682008,1880,2,214
5158054,2202,2,193
3813058,2253,2,221
3893410,2293,2,217
6904255,2464,2,214
3764713,1928,2,243
3764787,2203,2,181
3442437,1948,2,181
4758948,1874,2,318
7176283,1874,2,216
4015723,2202,2,193
5158060,1872,2,210
3764711,1827,2,403
3765221,2293,2,217
4211777,2270,2,318
4037283,1724,2,226
5158054,1947,2,193
7647737,1748,2,237
1662795,5121480,2,209
3813118,1928,2,210
4473149,1827,2,225
1724,4473191,2,210
1724,4473190,2,210
4036660,1724,2,254
1724,4473192,2,252
1662795,5121481,2,192
7691395,1748,2,235
3765220,1897,2,239
7714422,1692061,2,207
7161677,1662795,2,209
4017049,2270,2,187
7161677,1662796,2,209
7336787,2268,2,210
5158071,2536,2,216
7714422,1692060,2,207
4726763,2366,2,254
4016088,2268,2,321
4726914,1724,2,214
7137434,2165,2,256
1724,1715,2,480
5121410,2224,2,274
7376288,1724,2,193
3764786,1827,2,225
3764995,1827,2,387
3887812,1827,2,418
3887778,1827,2,460
4726729,1928,2,251
3764967,2366,2,389
1662797,5121484,2,218
4016598,2270,2,318
2224,5121770,2,307
3740557,1820,2,227
2224,5121771,2,315
5158063,1741,2,234
7336787,1872,2,210
7676432,1959,2,198
5081720,1741,2,234
7137425,2284,2,242
5710015,1874,2,216
4211784,1959,2,198
3764784,1827,2,418
1722,1724,2,108
4016790,2268,2,292
5250730,1872,2,321
7376192,1827,2,252
3926190,1827,2,460
7275550,2469,2,235
4000546,1716,2,228
4016352,1888,2,184
5158082,1724,2,241
4022949,2293,2,243
3893411,1897,2,239
4036742,1796,2,250
2462,4009067,2,197
7714388,1692061,2,207
7714388,1692060,2,207
6591472,1827,2,460
5138159,2406,2,231
5158049,1662796,2,192
5158049,1662795,2,192
1662797,4023652,2,215
3926187,1827,2,254
4037298,1827,2,207
5710014,2270,2,188
3926220,2406,2,250
7376290,2469,2,254
3442452,1879,2,322
3687412,2366,2,252
2462,4009073,2,213
1969,6000770,2,274
4022890,2025,2,229
7661354,1874,2,265
4016597,2270,2,291
3619130,1749,2,244
5710072,2270,2,188
4016090,1872,2,224
3812978,1928,2,210
4016091,2268,2,224
4016044,2202,2,191
7275666,2366,2,229
3764758,1827,2,403
6961984,1741,2,284
4211778,2270,2,291
3764734,1820,2,227
4037288,1897,2,217
5762015,2202,2,213
3813038,1827,2,418
4015880,1947,2,239
4009538,1928,2,251
3740307,2406,2,189
4016341,1796,2,252
3687411,1827,2,252
3926243,2469,2,242
1662798,6449066,2,190
4726759,2253,2,221
4036742,2406,2,250
7376289,1724,2,193
4037252,2366,2,389
4015690,2202,2,271
4022948,1897,2,249
4008213,2359,2,212
1927,1928,2,160
3812979,1928,2,221
5158087,2268,2,260
4211773,1692061,2,216
2419,5150147,2,270
6591476,1827,2,225
3764995,2366,2,387
6904255,1719,2,214
7376289,2469,2,193
5158084,2009,2,212
7260971,2462,2,222
2165,4016291,2,212
4758947,2270,2,291
4017047,1872,2,229
6933261,2406,2,273
7627536,1969,2,261
3343761,1897,2,180
4022891,2144,2,210
4009667,1827,2,431
3893336,2469,2,187
7275304,2144,2,210
5121373,2366,2,254
5081720,2419,2,234
3740557,2359,2,227
5138160,1796,2,231
1662798,6449047,2,218
4726759,1928,2,221
4211784,2214,2,198
3442448,2427,2,284
2469,4473191,2,210
2469,4473192,2,252
4799005,2462,2,210
3765151,2469,2,254
3765151,1724,2,254
4017011,1874,2,318
7176251,2469,2,226
1662798,4023652,2,215
4037208,2025,2,210
6217416,1724,2,210
4009616,1827,2,226
7676432,2214,2,198
4015881,1947,2,213
3926246,2366,2,431
6456145,1662798,2,215
5121374,1827,2,222
6456145,1662797,2,215
5158046,1662797,2,247
2275,5121992,2,181
2275,5121991,2,254
5158046,1662798,2,247
3813112,1827,2,225
3764996,1827,2,225
3887780,1827,2,403
4022947,1897,2,234
7168623,1662797,2,225
4016352,2284,2,184
7168623,1662798,2,225
4211812,1717,2,228
3749911,2359,2,227
3893474,1820,2,212
2469,4473190,2,210
2252,1928,2,152
6217417,2469,2,252
7376189,2203,2,181
7266072,1874,2,216
7661313,1874,2,270
3798479,2461,2,317
5657267,1724,2,204
4016780,1872,2,229
3764785,1827,2,387
4016113,1872,2,221
5158082,2469,2,241
3812976,2366,2,388
7260970,1717,2,258
3813116,2366,2,388
4023032,2144,2,210
1662798,5121515,2,190
4016347,2426,2,244
4472780,1872,2,260
3893335,2469,2,187
3619140,1880,2,214
5710015,2270,2,216
7714423,1692061,2,201
7714423,1692060,2,201
7176418,1947,2,201
4037004,2366,2,225
4015881,2202,2,213
7275305,2144,2,229
4009664,2469,2,210
4726914,2469,2,214
4037000,1827,2,460
3813112,2366,2,225
2252,2253,2,144
1927,2253,2,151
5121410,1969,2,274
7176284,2270,2,225
7266071,2270,2,188
3764711,2366,2,403
4037298,2366,2,207
4758947,1874,2,291
3343761,2293,2,180
5710073,2270,2,216
4000546,2461,2,228
4016029,2202,2,191
3813116,1827,2,388
3813055,1719,2,261
4016350,1748,2,254
4473028,2366,2,254
4045020,2359,2,244
